,DateTime,Open,High,Low,Close,Volume
0,20220504  09:30:00,417.06,417.145,416.14,416.43,-1
1,20220504  09:40:00,416.43,417.415,416.235,417.33,-1
2,20220504  09:50:00,417.33,417.36,416.025,416.045,-1
3,20220504  10:00:00,416.045,416.165,415.025,415.255,-1
4,20220504  10:10:00,415.255,415.715,414.445,414.865,-1
5,20220504  10:20:00,414.865,415.695,414.695,415.32,-1
6,20220504  10:30:00,415.32,415.465,414.235,415.2,-1
7,20220504  10:40:00,415.2,415.685,415.025,415.26,-1
8,20220504  10:50:00,415.26,415.325,414.7,415.055,-1
9,20220504  11:00:00,415.055,415.255,414.485,415.065,-1
10,20220504  11:10:00,415.065,415.17,414.085,414.585,-1
11,20220504  11:20:00,414.585,414.68,414.025,414.335,-1
12,20220504  11:30:00,414.335,414.445,413.705,414.31,-1
13,20220504  11:40:00,414.31,415.27,414.185,415.255,-1
14,20220504  11:50:00,415.255,415.745,415.005,415.225,-1
15,20220504  12:00:00,415.225,415.58,414.915,415.465,-1
16,20220504  12:10:00,415.465,416.035,415.055,415.905,-1
17,20220504  12:20:00,415.905,417.155,415.885,416.985,-1
18,20220504  12:30:00,416.985,417.645,416.88,417.595,-1
19,20220504  12:40:00,417.595,417.705,416.885,417.135,-1
20,20220504  12:50:00,417.135,418.06,416.865,418.045,-1
21,20220504  13:00:00,418.045,418.475,417.405,417.585,-1
22,20220504  13:10:00,417.585,417.705,416.895,417.545,-1
23,20220504  13:20:00,417.545,417.875,417.235,417.35,-1
24,20220504  13:30:00,417.35,417.93,416.945,417.355,-1
25,20220504  13:40:00,417.355,417.715,417.19,417.375,-1
26,20220504  13:50:00,417.375,418.935,417.18,418.135,-1
27,20220504  14:00:00,418.135,420.145,416.42,417.8,-1
28,20220504  14:10:00,417.8,418.595,416.39,416.745,-1
29,20220504  14:20:00,416.745,419.37,415.71,418.86,-1
30,20220504  14:30:00,418.86,419.29,414.12,416.645,-1
31,20220504  14:40:00,416.645,422.85,416.05,421.755,-1
32,20220504  14:50:00,421.755,424.25,421.365,423.695,-1
33,20220504  15:00:00,423.695,424.9,423.085,424.68,-1
34,20220504  15:10:00,424.68,426.595,424.675,425.265,-1
35,20220504  15:20:00,425.265,427.085,425.115,427.02,-1
36,20220504  15:30:00,427.02,428.505,426.965,428.275,-1
37,20220504  15:40:00,428.275,429.14,427.705,429.1,-1
38,20220504  15:50:00,429.1,429.655,428.25,428.985,-1
39,20220505  09:30:00,424.505,424.63,423.315,423.785,-1
40,20220505  09:40:00,423.785,424.595,422.035,422.07,-1
41,20220505  09:50:00,422.07,422.54,421.115,421.585,-1
42,20220505  10:00:00,421.585,421.63,418.975,419.485,-1
43,20220505  10:10:00,419.485,419.995,418.215,419.635,-1
44,20220505  10:20:00,419.635,419.66,417.75,418.105,-1
45,20220505  10:30:00,418.105,418.475,416.855,416.905,-1
46,20220505  10:40:00,416.905,417.625,415.67,415.765,-1
47,20220505  10:50:00,415.765,416.795,415.22,416.775,-1
48,20220505  11:00:00,416.775,417.135,413.995,414.535,-1
49,20220505  11:10:00,414.535,415.385,413.84,414.525,-1
50,20220505  11:20:00,414.525,414.79,413.62,414.725,-1
51,20220505  11:30:00,414.725,416.515,414.185,415.935,-1
52,20220505  11:40:00,415.935,416.345,414.285,414.65,-1
53,20220505  11:50:00,414.65,414.775,412.28,412.345,-1
54,20220505  12:00:00,412.345,413.57,411.005,413.4,-1
55,20220505  12:10:00,413.4,414.345,412.815,414.04,-1
56,20220505  12:20:00,414.04,414.935,413.165,414.05,-1
57,20220505  12:30:00,414.05,414.81,412.67,413.31,-1
58,20220505  12:40:00,413.31,413.34,412.06,412.54,-1
59,20220505  12:50:00,412.54,414.525,412.435,414.52,-1
60,20220505  13:00:00,414.52,416.385,414.46,415.995,-1
61,20220505  13:10:00,415.995,416.025,413.86,414.73,-1
62,20220505  13:20:00,414.73,415.175,414.125,414.895,-1
63,20220505  13:30:00,414.895,415.96,413.82,414.73,-1
64,20220505  13:40:00,414.73,415.75,414.035,414.045,-1
65,20220505  13:50:00,414.045,414.155,412.83,413.465,-1
66,20220505  14:00:00,413.465,413.91,412.675,413.615,-1
67,20220505  14:10:00,413.615,415.035,412.845,415.015,-1
68,20220505  14:20:00,415.015,415.18,411.93,411.97,-1
69,20220505  14:30:00,411.97,412.475,411.59,412.3,-1
70,20220505  14:40:00,412.3,413.18,411.815,412.675,-1
71,20220505  14:50:00,412.675,414.145,412.335,412.79,-1
72,20220505  15:00:00,412.79,413.08,410.835,411.44,-1
73,20220505  15:10:00,411.44,411.68,410.13,410.79,-1
74,20220505  15:20:00,410.79,411.375,409.735,410.035,-1
75,20220505  15:30:00,410.035,412.2,409.445,411.735,-1
76,20220505  15:40:00,411.735,412.495,409.915,410.165,-1
77,20220505  15:50:00,410.165,414.32,410.165,413.91,-1
78,20220506  09:30:00,411.08,411.775,407.855,408.015,-1
79,20220506  09:40:00,408.015,409.175,406.09,407.235,-1
80,20220506  09:50:00,407.235,407.68,405.735,406.355,-1
81,20220506  10:00:00,406.355,408.75,405.755,407.04,-1
82,20220506  10:10:00,407.04,411.62,406.425,410.505,-1
83,20220506  10:20:00,410.505,411.575,409.415,409.455,-1
84,20220506  10:30:00,409.455,410.715,407.645,408.585,-1
85,20220506  10:40:00,408.585,412.115,408.13,411.83,-1
86,20220506  10:50:00,411.83,413.475,410.885,412.735,-1
